"Date","AAPL","MSFT","NVDA","JPM","V","AMZN","HD","GOOGL","JNJ","CAT","PG","XOM","LIN","PLD","NEE"
2020-01-02,72.2715530395508,151.544281005859,5.9571385383606,117.899223327637,182.092742919922,94.9004974365234,185.952270507812,67.788932800293,121.338516235352,132.06787109375,103.959297180176,52.6064033508301,191.499786376953,73.7455749511719,50.3359909057617
2020-01-03,71.5689239501953,149.657287597656,5.86178684234619,116.343353271484,180.644607543945,93.7484970092773,185.334289550781,67.4343032836914,119.933700561523,130.234191894531,103.260124206543,52.1834754943848,186.520141601562,74.5714263916016,50.6945991516113
2020-01-06,72.1391830444336,150.044097900391,5.88637113571167,116.250854492188,180.253952026367,95.1439971923828,186.20622253418,69.2317123413086,119.784057617188,130.146469116211,103.403327941895,52.5841331481934,185.729522705078,74.2794723510742,50.9477310180664
2020-01-07,71.799919128418,148.676055908203,5.95763444900513,114.274543762207,179.777572631836,95.3430023193359,184.987182617188,69.0979919433594,120.515579223633,128.426879882812,102.763092041016,52.1537971496582,186.129348754883,73.8039474487305,50.9034309387207
2020-01-08,72.9549102783203,151.044235229492,5.96880960464478,115.165962219238,182.854995727539,94.598503112793,187.755432128906,69.5898132324219,120.498947143555,129.567367553711,103.201148986816,51.3672866821289,188.455657958984,74.2043762207031,50.8802375793457
2020-01-09,74.5045318603516,152.931213378906,6.03436040878296,115.586471557617,184.122161865234,95.0524978637695,190.633682250977,70.3203506469727,120.856384277344,129.242782592773,104.329940795898,51.7605476379395,189.782379150391,74.2126998901367,51.2789115905762
2020-01-10,74.6729507446289,152.223602294922,6.06664037704468,114.434310913086,184.617645263672,94.1579971313477,189.812591552734,70.774528503418,120.582099914551,128.207458496094,104.431037902832,51.3005142211914,189.991363525391,74.6131439208984,51.3759498596191
2020-01-13,76.2683181762695,154.053985595703,6.25684499740601,115.384605407715,186.103958129883,94.5650024414062,189.067581176758,71.3228149414062,121.114097595215,128.812927246094,105.197616577148,51.7902221679688,192.46305847168,76.5819320678711,51.9771461486816
2020-01-14,75.2384338378906,152.968933105469,6.14014101028442,116.73023223877,186.789916992188,93.4720001220703,188.618896484375,70.8552627563477,121.79573059082,128.690078735352,105.037567138672,51.3450317382812,190.791046142578,75.6058807373047,52.2577133178711
2020-01-15,74.9160003662109,153.959625244141,6.09767961502075,114.980911254883,190.362823486328,93.1009979248047,190.125747680664,71.2817001342773,122.203071594238,127.716186523438,106.107391357422,51.2634162902832,192.13591003418,76.923942565918,53.0698547363281
2020-01-16,75.8544311523438,156.780624389648,6.18111133575439,115.426681518555,191.45849609375,93.8970031738281,193.706634521484,71.8245544433594,123.192222595215,129.734130859375,106.200057983398,51.0630836486816,193.607986450195,77.8749618530273,53.215404510498
2020-01-17,76.694221496582,157.658126831055,6.18980169296265,116.225624084473,195.031356811523,93.2360000610352,196.322479248047,73.2787094116211,123.998558044434,130.564651489258,106.486473083496,50.8701705932617,194.553070068359,78.6424560546875,53.4537620544434
2020-01-21,76.1744689941406,157.092041015625,6.15652894973755,115.081871032715,197.4990234375,94.5999984741211,197.202819824219,73.4139175415039,124.081680297852,128.859420776367,106.216896057129,50.1430206298828,192.3994140625,79.726936340332,54.1899833679199
2020-01-22,76.4463806152344,156.33723449707,6.2104115486145,114.947319030762,198.080184936523,94.3730010986328,197.160537719727,73.4941482543945,123.23380279541,126.014579772949,106.402229309082,49.8536529541016,191.808792114258,78.3671722412109,54.8249130249023
2020-01-23,76.8145370483398,157.299560546875,6.27869558334351,114.829574584961,196.765380859375,94.2289962768555,197.795440673828,73.534782409668,123.466537475586,126.120567321777,105.915855407715,49.5420227050781,190.482131958008,79.8353881835938,54.8628883361816
2020-01-24,76.5931625366211,155.71452331543,6.21959924697876,111.978576660156,195.317169189453,93.0820007324219,196.398635864258,72.6174926757812,123.291984558105,124.026664733887,106.042938232422,49.208122253418,190.818298339844,80.2108001708984,55.6307411193848
2020-01-27,74.3409118652344,153.110488891602,5.96433877944946,111.036674499512,192.163528442383,91.4169998168945,195.712982177734,70.9117279052734,123.649421691895,119.918365478516,106.508987426758,48.0357971191406,186.174850463867,79.2431182861328,56.2677917480469
2020-01-28,76.4439849853516,156.110809326172,6.15727424621582,113.055046081543,193.268753051758,92.6624984741211,197.973236083984,71.8413696289062,124.272872924805,120.81071472168,106.79711151123,47.9690246582031,188.900939941406,79.7186126708984,56.0716094970703
2020-01-29,78.0441131591797,158.545043945312,6.0969352722168,112.88688659668,195.183776855469,92.9000015258789,198.108673095703,72.1484603881836,125.137405395508,119.962524414062,105.975128173828,47.5683479309082,189.218933105469,80.5027923583984,56.0610694885254
2020-01-30,77.9310073852539,163.017211914062,6.10363960266113,114.282913208008,198.375564575195,93.5339965820312,197.067398071289,72.0271148681641,124.987747192383,119.600296020508,106.729309082031,48.0729026794434,189.218933105469,80.2608489990234,56.9407196044922
2020-01-31,74.4756698608398,160.611267089844,5.87072706222534,111.314193725586,189.572021484375,100.435997009277,193.097152709961,70.9637298583984,123.749168395996,116.048622131348,105.60228729248,46.0918045043945,184.584594726562,77.4828720092773,56.5757827758789
2020-02-03,74.2711486816406,164.526748657227,5.96756792068481,112.163619995117,191.325103759766,100.209999084473,196.009231567383,73.4312515258789,124.829772949219,114.652648925781,106.017509460449,45.0604629516602,190.318496704102,76.6403198242188,56.2825698852539
2020-02-04,76.7230987548828,169.942428588867,6.13641548156738,113.778297424316,193.945205688477,102.483497619629,198.938293457031,71.5892868041992,126.018524169922,117.957000732422,106.483596801758,44.4965515136719,194.007827758789,77.9333724975586,55.8037109375
2020-02-05,77.3487167358398,169.734832763672,6.2265510559082,115.712593078613,193.230590820312,101.993499755859,201.571090698242,71.620979309082,128.005233764648,121.429168701172,107.458076477051,46.5444259643555,196.952072143555,77.366096496582,56.2614707946777
2020-02-06,78.2534637451172,173.254150390625,6.31321048736572,115.729423522949,193.449798583984,102.511497497559,202.189010620117,73.1028747558594,127.622802734375,121.261306762695,107.737716674805,45.9137420654297,196.961166381836,77.6747741699219,56.6031951904297
2020-02-07,77.1897811889648,173.499389648438,6.24715948104858,115.359405517578,193.163955688477,103.963996887207,200.885345458984,73.2583999633789,126.259574890137,117.833274841309,106.839477539062,45.6095275878906,194.607604980469,77.6997909545898,56.858455657959
2020-02-10,77.556396484375,178.037628173828,6.52973413467407,115.83878326416,196.26042175293,106.695503234863,203.687423706055,74.7219543457031,126.234664916992,118.67261505127,106.915756225586,45.1278381347656,195.770706176758,78.9677963256836,57.3225250244141
2020-02-11,77.088493347168,174.018325805664,6.65190076828003,116.057411193848,194.307266235352,107.540000915527,204.559356689453,74.7912979125977,126.342681884766,120.324722290039,105.212478637695,45.5568428039551,196.479476928711,80.2608489990234,57.4090042114258
2020-02-12,78.9191513061523,174.273040771484,6.76736450195312,116.057411193848,197.64192199707,108,204.517013549805,75.2157669067383,125.594551086426,123.328666687012,104.61083984375,46.1137962341309,197.370010375977,80.7446975708008,57.0103225708008
2020-02-13,78.3571701049805,173.329544067383,6.72366142272949,115.956512451172,197.890014648438,107.493499755859,205.168884277344,74.9562454223633,124.763305664062,123.443557739258,105.89038848877,45.8578948974609,201.059356689453,80.4777679443359,58.1093559265137
2020-02-14,78.3764953613281,174.876876831055,7.19569492340088,115.60327911377,200.647491455078,106.743499755859,207.429092407227,75.2207260131836,124.796577453613,121.915061950684,106.890312194824,45.647159576416,202.313339233398,81.3787231445312,58.7527503967285
2020-02-18,76.9413375854492,176.650680541992,7.36404657363892,114.072647094727,201.515777587891,107.783500671387,206.506408691406,75.2558975219727,123.973594665527,120.669326782227,105.814117431641,45.067626953125,203.140258789062,82.0461044311523,59.4952697753906
